sites Lon Lat Case
ARM_Manacapuru -60.598 -3.213 1
Abracos_Hill -62.358 -10.760 2
Alta_Floresta -56.104 -9.871 3
Amazon_ATTO_Tower -59.000 -2.144 4
Arica -70.313 -18.472 5
Balbina -59.487 -1.917 6
Belterra -54.952 -2.648 7
Brasilia -47.900 -15.917 8
CASLEO -69.306 -31.799 9
CEILAP-Bariloche -71.163 -41.147 10
CEILAP-Buenos_Aires_all -58.500 -34.567 11
CEILAP-Comodoro -67.463 -45.792 12
CEILAP-Neuquen -68.137 -38.952 13
CEILAP-RG -69.320 -51.600 14
Campo_Grande_all -54.617 -20.450 15
Concepcion -62.028 -16.138 16
Cordoba_all -64.464 -31.524 17
Cuiaba_all -56.000 -15.500 18
El_Refugio -62.035 -14.766 19
Huancayo-IGP -75.321 -12.040 20
Itajuba -45.452 -22.413 21
Ji_Parana_all -61.800 -10.860 22
La_Paz -68.066 -16.539 23
Los_Fieros_all -60.929 -14.556 24
Manaus_all -59.97 -2.891 25
Medellin -75.578 6.261 26
Petrolina_SONDA -40.500 -9.383 27
Porto_Velho_all -63.950 -8.770 28
Quito_USFQ -78.436 -0.196 29
Rio_Branco -67.869 -9.957 30
Rio_de_Janeiro_UFRJ -43.234 -22.857 31
SANTA_CRUZ_all -63.178 -17.802 32
Santiago_all -70.717 -33.490 33
Sao_Martinho_SONDA -53.823 -29.443 34
Sao_Paulo_all -46.735 -23.561 35
Surinam -55.200 5.800 36
Trelew -65.309 -43.250 37
UNC-Gaitan -72.352 4.311 38
UPC-GEAB-Valledupar -73.329 9.560 39
Uberlandia -48.283 -18.900 40
UdeConcepcion-CEFOP -73.025 -36.843 41
